Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Regular price,Categories,Images
simple,TSH001,Classic White Tee,1,0,visible,"100% Cotton white t-shirt","Essential classic white t-shirt for everyday wear. Comfortable and breathable.",1,100,19.99,"Fashion > T-Shirts",
simple,TSH002,Graphic Print Tee,1,0,visible,"Cool graphic design t-shirt","Stand out with this unique graphic print. High-quality screen printing.",1,80,24.99,"Fashion > T-Shirts",
simple,TSH003,V-Neck Essential,1,0,visible,"Slim fit v-neck t-shirt","Perfect for layering or wearing on its own. Premium soft fabric.",1,60,22.99,"Fashion > T-Shirts",
simple,TSH004,Polo Sport Shirt,1,0,visible,"Breathable polo shirt","Casual yet professional look. Ideal for golf or office.",1,50,34.99,"Fashion > T-Shirts",
simple,TSH005,Long Sleeve Basic,1,0,visible,"Soft long sleeve t-shirt","Great for cooler days. Available in multiple colors.",1,70,27.99,"Fashion > T-Shirts",
simple,JNS001,Slim Fit Blue Jeans,1,1,visible,"Classic blue denim","Tapered leg, comfortable stretch denim. A wardrobe staple.",1,40,59.99,"Fashion > Jeans",
simple,JNS002,Straight Leg Black,1,0,visible,"Standard black jeans","Versatile black denim with a comfortable straight cut.",1,35,54.99,"Fashion > Jeans",
simple,JNS003,Ripped Denim Style,1,0,visible,"Distressed fashion jeans","Trendy ripped details for a modern urban look.",1,25,69.99,"Fashion > Jeans",
simple,JNS004,High Waisted Skinny,1,0,visible,"Flattering skinny jeans","Stretchy fabric with a high-rise waist for comfort.",1,45,49.99,"Fashion > Jeans",
simple,JNS005,Relaxed Fit Cargo,1,0,visible,"Multi-pocket cargo pants","Durable and practical with plenty of storage space.",1,30,64.99,"Fashion > Jeans",
simple,SHOE001,Urban Sneakers,1,1,visible,"Lightweight casual sneakers","Stylish and comfortable for walking and daily use.",1,20,79.99,"Fashion > Shoes",
simple,SHOE002,Leather Boots,1,0,visible,"Classic brown leather boots","Durable construction with premium leather finish.",1,15,129.99,"Fashion > Shoes",
simple,SHOE003,Running Pro Max,1,0,visible,"High-performance running shoes","Advanced cushioning and support for long distances.",1,25,119.99,"Fashion > Shoes",
simple,SHOE004,Formal Oxford Shoes,1,0,visible,"Elegant dress shoes","Perfect for weddings, office, and formal events.",1,12,89.99,"Fashion > Shoes",
simple,SHOE005,Canvas Slip-Ons,1,0,visible,"Easy wear canvas shoes","Breathable and simple for a relaxed summer look.",1,60,39.99,"Fashion > Shoes",
simple,ACC021,Minimalist Watch,1,1,visible,"Sleek analog watch","Thin profile with a genuine leather strap.",1,18,149.99,"Fashion > Accessories",
simple,ACC022,Leather Tote Bag,1,0,visible,"Spacious everyday bag","Handcrafted leather with plenty of room for essentials.",1,10,199.99,"Fashion > Accessories",
simple,ACC023,Polarized Sunglasses,1,0,visible,"Classic aviator style","High-quality lenses with 100% UV protection.",1,40,59.99,"Fashion > Accessories",
simple,ACC024,Silk Neck Tie,1,0,visible,"Premium silk tie","Sophisticated patterns for a professional look.",1,100,29.99,"Fashion > Accessories",
simple,ACC025,Wool Winter Scarf,1,0,visible,"Warm knit scarf","Soft wool blend to keep you cozy in cold weather.",1,55,34.99,"Fashion > Accessories"
